Rk,Player,Tm,FantPos,G,PPR
1,Patrick Mahomes*+\MahoPa00,KAN,QB,16,417.1
2,Saquon Barkley*\BarkSa00,NYG,RB,16,385.8
3,Christian McCaffrey\McCaCh01,CAR,RB,16,385.5
4,Todd Gurley*+\GurlTo01,LAR,RB,14,372.1
5,Matt Ryan\RyanMa00,ATL,QB,16,355
6,Alvin Kamara*\KamaAl00,NOR,RB,15,354.2
7,Ben Roethlisberger\RoetBe00,PIT,QB,16,341.9
8,Tyreek Hill*+\HillTy00,KAN,WR,16,334
9,DeAndre Hopkins*+\HopkDe00,HOU,WR,16,333.5
10,Deshaun Watson*\WatsDe00,HOU,QB,16,331.7
11,Davante Adams*\AdamDa01,GNB,WR,15,329.6
12,Ezekiel Elliott*\ElliEz00,DAL,RB,15,329.1
13,Andrew Luck*\LuckAn00,IND,QB,16,327.9
14,Julio Jones*\JoneJu02,ATL,WR,16,325.9
15,Antonio Brown*\BrowAn04,PIT,WR,15,323.7
16,Jared Goff*\GoffJa00,LAR,QB,16,316.3
17,Michael Thomas*+\ThomMi05,NOR,WR,16,315.5
18,Aaron Rodgers*\RodgAa00,GNB,QB,16,312.6
19,Adam Thielen*\ThieAd00,MIN,WR,16,307.3
20,Drew Brees*\BreeDr00,NOR,QB,15,305
21,Russell Wilson*\WilsRu00,SEA,QB,16,299.4
22,JuJu Smith-Schuster*\SmitJu00,PIT,WR,16,296.9
23,Travis Kelce*+\KelcTr00,KAN,TE,16,294.6
24,Mike Evans*\EvanMi00,TAM,WR,16,290.4
25,Dak Prescott*\PresDa01,DAL,QB,16,285.9
26,Philip Rivers*\RivePh00,LAC,QB,16,285
27,Kirk Cousins\CousKi00,MIN,QB,16,283.1
28,Cam Newton\NewtCa00,CAR,QB,14,282.6
29,Tom Brady*\BradTo00,NWE,QB,16,281.3
30,Zach Ertz*\ErtzZa00,PHI,TE,16,280.3
31,James Conner*\ConnJa00,PIT,RB,13,280
32,James White\WhitJa02,NWE,RB,16,276.6
33,Melvin Gordon*\GordMe00,LAC,RB,12,275.5
34,Stefon Diggs\DiggSt00,MIN,WR,15,266.3
35,Robert Woods\WoodRo02,LAR,WR,16,265.6
36,Mitchell Trubisky*\TrubMi00,CHI,QB,14,263
37,Keenan Allen*\AlleKe00,LAC,WR,16,260.1
38,George Kittle*\KittGe00,SFO,TE,16,258.7
39,David Johnson\JohnDa08,ARI,RB,16,246.6
40,Joe Mixon\MixoJo00,CIN,RB,14,243.4
41,Brandin Cooks\CookBr00,LAR,WR,16,243.2
42,Baker Mayfield\MayfBa00,CLE,QB,14,240.1
43,Eli Manning\MannEl00,NYG,QB,16,240
44,T.Y. Hilton\HiltT.00,IND,WR,14,239
45,Tarik Cohen*+\CoheTa00,CHI,RB,16,233.9
46,Odell Beckham\BeckOd00,NYG,WR,12,230.3
47,Kareem Hunt\HuntKa00,KAN,RB,11,230.2
48,Phillip Lindsay*\LindPh00,DEN,RB,15,222.8
49,Tyler Lockett\LockTy00,SEA,WR,16,222.4
50,Eric Ebron*\EbroEr00,IND,TE,16,222.2
51,Tyler Boyd\BoydTy00,CIN,WR,14,221.1
52,Jarvis Landry*\LandJa00,CLE,WR,16,217.1
53,Derek Carr\CarrDe02,OAK,QB,16,216.8
54,Amari Cooper*\CoopAm00,2TM,WR,15,215.5
55,Case Keenum\KeenCa00,DEN,QB,16,214.9
56,Matthew Stafford\StafMa00,DET,QB,16,212.2
57,Josh Allen\AlleJo02,BUF,QB,12,208.1
58,Julian Edelman\EdelJu00,NWE,WR,12,207.4
59,Kenny Golladay\GollKe00,DET,WR,15,207.1
60,Calvin Ridley\RidlCa00,ATL,WR,16,206.8
61,Kenyan Drake\DrakKe00,MIA,RB,16,206.2
62,Derrick Henry\HenrDe00,TEN,RB,16,201.4
63,Chris Carson\CarsCh00,SEA,RB,14,201.4
64,Emmanuel Sanders\SandEm00,DEN,WR,12,198.2
65,Jameis Winston\WinsJa00,TAM,QB,11,195.8
66,Nick Chubb\ChubNi00,CLE,RB,16,194.5
67,Carson Wentz\WentCa00,PHI,QB,11,193.7
68,Jared Cook*\CookJa02,OAK,TE,16,193.6
69,Tevin Coleman\ColeTe01,ATL,RB,16,193.6
70,Adrian Peterson\PeteAd01,WAS,RB,16,189
71,Adam Humphries\HumpAd00,TAM,WR,16,188.7
72,Larry Fitzgerald\FitzLa00,ARI,WR,16,185.7
73,Alshon Jeffery\JeffAl00,PHI,WR,13,185.3
74,Chris Godwin\GodwCh00,TAM,WR,16,185.2
75,Corey Davis\DaviCo03,TEN,WR,16,183.6
76,Golden Tate\TateGo00,2TM,WR,15,182.9
77,Sterling Shepard\ShepSt00,NYG,WR,16,182.5
78,Mohamed Sanu\SanuMo00,ATL,WR,16,182.4
79,Mike Williams\WillMi07,LAC,WR,16,180.2
80,Jordan Howard\HowaJo00,CHI,RB,16,180
81,Dede Westbrook\WestDe00,JAX,WR,16,179.5
82,Marlon Mack\MackMa00,IND,RB,12,178.1
83,Marcus Mariota\MariMa01,TEN,QB,14,175.9
84,Andy Dalton\DaltAn00,CIN,QB,11,174.5
85,Blake Bortles\BortBl00,JAX,QB,13,173.2
86,T.J. Yeldon\YeldT.00,JAX,RB,14,173.1
87,Lamar Miller*\MillLa01,HOU,RB,14,172.6
88,Aaron Jones\JoneAa00,GNB,RB,12,171.4
89,Austin Ekeler\EkelAu00,LAC,RB,14,168.8
90,Sam Darnold\DarnSa00,NYJ,QB,13,168.4
91,Ryan Fitzpatrick\FitzRy00,TAM,QB,8,165.8
92,Nelson Agholor\AghoNe00,PHI,WR,16,165.4
93,Zay Jones\JoneZa00,BUF,WR,16,165.2
94,Austin Hooper*\HoopAu00,ATL,TE,16,163
95,Matt Breida\BreiMa00,SFO,RB,14,162.5
96,Nyheim Hines\HineNy00,IND,RB,16,160.9
97,Dion Lewis\LewiDi00,TEN,RB,16,160.7
98,Lamar Jackson\JackLa00,BAL,QB,16,157.5
99,D.J. Moore\MoorD.00,CAR,WR,16,157
100,Demaryius Thomas\ThomDe03,2TM,WR,15,156.7
101,Jordy Nelson\NelsJo00,OAK,WR,15,156.7
102,Jalen Richard\RichJa01,OAK,RB,16,156.6
103,Robby Anderson\AndeRo04,NYJ,WR,14,156.4
104,Allen Robinson\RobiAl02,CHI,WR,13,153.3
105,Dalvin Cook\CookDa01,MIN,RB,11,152
106,Taylor Gabriel\GabrTa00,CHI,WR,16,151.9
107,Kyle Rudolph\RudoKy00,MIN,TE,16,151.4
108,DeSean Jackson\JackDe00,TAM,WR,12,151.3
109,Peyton Barber\BarbPe01,TAM,RB,16,150.3
110,Cole Beasley\BeasCo00,DAL,WR,16,150.2
111,A.J. Green\GreeA.00,CIN,WR,9,149.4
112,Trey Burton\BurtTr01,CHI,TE,16,147.1
113,David Njoku\NjokDa00,CLE,TE,16,143.9
114,John Brown\BrowJo02,BAL,WR,16,143.9
115,Ryan Tannehill\TannRy00,MIA,QB,11,143
116,Mark Ingram\IngrMa01,NOR,RB,12,142.5
117,Doug Baldwin\BaldDo00,SEA,WR,13,141.8
118,Isaiah Crowell\CrowIs00,NYJ,RB,13,140.7
119,Kerryon Johnson\JohnKe06,DET,RB,10,139.4
120,Sony Michel\MichSo00,NWE,RB,13,139.1
121,Josh Gordon\GordJo02,2TM,WR,12,138.7
122,Alex Smith\SmitAl03,WAS,QB,10,138
123,Tyrell Williams\WillTy00,LAC,WR,16,137.8
124,Joe Flacco\FlacJo00,BAL,QB,9,137.1
125,Mike Davis\DaviMi01,SEA,RB,15,136.8
