Rk,Player,Tm,FantPos,G,Pass Yds,Pass TD,Int,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,FL,2PM,2PC,2PP
1,Christian McCaffrey*+\McCaCh01,CAR,RB,16,0,0,0,1387,15,116,1005,4,0,1,1,
2,Lamar Jackson*+\JackLa00,BAL,QB,15,3127,36,6,1206,7,0,0,0,2,,0,
3,Michael Thomas*+\ThomMi05,NOR,WR,16,0,0,0,-9,0,149,1725,9,0,,0,
4,Dak Prescott\PresDa01,DAL,QB,16,4902,30,11,277,3,0,0,0,2,,1,1
5,Russell Wilson*\WilsRu00,SEA,QB,16,4110,31,5,342,3,0,0,0,2,,1,1
6,Deshaun Watson*\WatsDe00,HOU,QB,15,3852,26,12,413,7,1,6,1,3,,1,1
7,Aaron Jones\JoneAa00,GNB,RB,16,0,0,0,1084,16,49,474,3,2,,0,
8,Ezekiel Elliott*\ElliEz00,DAL,RB,16,0,0,0,1357,12,54,420,2,2,,0,
9,Austin Ekeler\EkelAu00,LAC,RB,16,0,0,0,557,3,92,993,8,2,,0,
10,Jameis Winston\WinsJa00,TAM,QB,16,5109,33,30,250,1,0,0,0,5,2,4,2
11,Derrick Henry*\HenrDe00,TEN,RB,15,0,0,0,1540,16,18,206,2,3,,0,
12,Dalvin Cook*\CookDa01,MIN,RB,14,0,0,0,1135,13,53,519,0,2,,0,
13,Josh Allen\AlleJo02,BUF,QB,16,3089,20,9,510,9,0,0,0,4,1,3,2
14,Patrick Mahomes*\MahoPa00,KAN,QB,14,4031,26,5,218,2,0,0,0,2,,1,1
15,Kyler Murray\MurrKy00,ARI,QB,16,3722,20,12,544,4,0,0,0,2,,3,3
16,Aaron Rodgers*\RodgAa00,GNB,QB,16,4002,26,4,183,1,0,0,0,4,1,3,2
17,Chris Godwin*\GodwCh00,TAM,WR,14,0,0,0,8,0,86,1333,9,0,1,1,
18,Carson Wentz\WentCa00,PHI,QB,16,4039,27,7,243,1,0,0,0,7,,2,2
19,Julio Jones*\JoneJu02,ATL,WR,15,0,0,0,-3,0,99,1394,6,0,,0,
20,Cooper Kupp\KuppCo00,LAR,WR,16,0,0,0,4,0,94,1161,10,0,,0,
21,DeAndre Hopkins*+\HopkDe00,HOU,WR,15,6,1,1,18,0,104,1165,7,0,1,1,
22,Matt Ryan\RyanMa00,ATL,QB,15,4466,26,14,147,1,0,0,0,5,,1,1
23,Tom Brady\BradTo00,NWE,QB,16,4057,24,8,34,3,0,0,0,1,,1,1
24,Keenan Allen*\AlleKe00,LAC,WR,16,0,0,0,16,0,104,1199,6,0,,0,
25,Leonard Fournette\FourLe00,JAX,RB,15,0,0,0,1152,3,76,522,0,1,,0,
26,Julian Edelman\EdelJu00,NWE,WR,16,47,1,0,27,0,100,1117,6,1,1,1,
27,Nick Chubb*\ChubNi00,CLE,RB,16,0,0,0,1494,8,36,278,0,3,,0,
28,Allen Robinson\RobiAl02,CHI,WR,16,0,0,0,2,0,98,1147,7,0,,0,
29,Travis Kelce*\KelcTr00,KAN,TE,16,0,0,0,4,1,97,1229,5,1,,0,
30,Alvin Kamara*\KamaAl00,NOR,RB,14,13,0,0,797,5,81,533,1,1,,0,
31,Kenny Golladay*\GollKe00,DET,WR,16,0,0,0,0,0,65,1190,11,1,,0,
32,Jared Goff\GoffJa00,LAR,QB,16,4638,22,16,40,2,0,0,0,5,,0,
33,Jimmy Garoppolo\GaroJi00,SFO,QB,16,3978,27,13,62,1,0,0,0,5,,2,2
34,Amari Cooper*\CoopAm00,DAL,WR,16,0,0,0,6,0,79,1189,8,0,,0,
35,DeVante Parker\ParkDe01,MIA,WR,16,0,0,0,0,0,72,1202,9,0,,0,
36,Derek Carr\CarrDe02,OAK,QB,16,4054,21,8,82,2,0,0,0,3,,0,
37,Kirk Cousins*\CousKi00,MIN,QB,15,3603,26,6,63,1,0,0,0,3,,1,1
38,Saquon Barkley\BarkSa00,NYG,RB,13,0,0,0,1003,6,52,438,2,0,,0,
39,Mark Ingram*\IngrMa01,BAL,RB,15,0,0,0,1018,10,26,247,5,2,2,2,
40,Ryan Fitzpatrick\FitzRy00,MIA,QB,15,3529,20,13,243,4,0,0,0,2,,1,1
41,Jarvis Landry*\LandJa00,CLE,WR,16,0,0,0,10,0,83,1174,6,0,,0,
42,Philip Rivers\RivePh00,LAC,QB,16,4615,23,20,29,0,0,0,0,3,,1,1
43,Tyler Lockett\LockTy00,SEA,WR,16,0,0,0,-5,0,82,1057,8,0,,0,
44,Robert Woods\WoodRo02,LAR,WR,15,0,0,0,115,1,90,1134,2,0,,0,
45,Mike Evans*\EvanMi00,TAM,WR,13,0,0,0,0,0,67,1157,8,0,1,1,
46,Chris Carson\CarsCh00,SEA,RB,15,0,0,0,1230,7,37,266,2,4,,0,
47,D.J. Moore\MoorD.00,CAR,WR,15,0,0,0,40,0,87,1175,4,1,,0,
48,Baker Mayfield\MayfBa00,CLE,QB,16,3827,22,21,141,3,0,0,0,2,,1,1
49,Gardner Minshew\MinsGa00,JAX,QB,14,3271,21,6,344,0,0,0,0,7,,3,3
50,DJ Chark*\CharDJ00,JAX,WR,15,0,0,0,20,0,73,1008,8,0,1,1,
51,Joe Mixon\MixoJo00,CIN,RB,16,0,0,0,1137,5,35,287,3,0,,0,
52,Drew Brees*\BreeDr00,NOR,QB,11,2979,27,4,-4,1,0,0,0,0,,0,
53,Ryan Tannehill*\TannRy00,TEN,QB,12,2742,22,6,185,4,0,0,0,3,1,1,
54,Tyler Boyd\BoydTy00,CIN,WR,16,0,0,0,23,0,90,1046,5,2,,0,
55,George Kittle*+\KittGe00,SFO,TE,14,0,0,0,22,0,85,1053,5,0,,0,
56,Courtland Sutton*\SuttCo00,DEN,WR,16,38,0,0,17,0,72,1112,6,0,,0,
57,Darren Waller\WallDa01,OAK,TE,16,0,0,0,5,0,90,1145,3,1,,0,
58,John Brown\BrowJo02,BUF,WR,15,28,1,0,7,0,72,1060,6,0,,0,
59,Todd Gurley\GurlTo01,LAR,RB,15,0,0,0,857,12,31,207,2,2,1,1,
60,Miles Sanders\SandMi01,PHI,RB,16,0,0,0,818,3,50,509,3,1,1,1,
61,Jacoby Brissett\BrisJa00,IND,QB,15,2942,18,6,228,4,1,2,0,5,,1,1
62,A.J. Brown\BrowAJ00,TEN,WR,16,0,0,0,60,1,52,1051,8,0,,0,
63,Zach Ertz*\ErtzZa00,PHI,TE,15,0,0,0,0,0,88,916,6,1,1,1,
64,Le'Veon Bell\BellLe00,NYJ,RB,15,0,0,0,789,3,66,461,1,1,1,1,
65,Daniel Jones\JoneDa05,NYG,QB,13,3027,24,12,279,2,0,0,0,11,,2,2
66,Kenyan Drake\DrakKe00,2TM,RB,14,0,0,0,817,8,50,345,0,1,1,1,
67,Michael Gallup\GallMi00,DAL,WR,14,0,0,0,0,0,66,1107,6,0,,0,
68,Davante Adams*\AdamDa01,GNB,WR,12,0,0,0,0,0,83,997,5,1,1,1,
69,Stefon Diggs\DiggSt00,MIN,WR,15,0,0,0,61,0,63,1130,6,3,,0,
70,Mark Andrews*\AndrMa00,BAL,TE,15,0,0,0,0,0,64,852,10,1,,0,
71,Andy Dalton\DaltAn00,CIN,QB,13,3494,16,14,73,4,1,-4,0,4,1,2,1
72,Mitchell Trubisky\TrubMi00,CHI,QB,15,3138,17,10,193,2,0,0,0,2,,1,1
73,Odell Beckham\BeckOd00,CLE,WR,16,20,0,0,10,0,74,1035,4,1,,0,
74,James White\WhitJa02,NWE,RB,15,35,0,0,263,1,72,645,5,1,1,1,
75,Phillip Lindsay\LindPh00,DEN,RB,16,0,0,0,1011,7,35,196,0,0,,0,
76,Jamison Crowder\CrowJa00,NYJ,WR,16,0,0,0,4,0,78,833,6,0,,0,
77,Devonta Freeman\FreeDe00,ATL,RB,14,0,0,0,656,2,59,410,4,2,,0,
78,Calvin Ridley\RidlCa00,ATL,WR,13,0,0,0,34,0,63,866,7,0,1,1,
79,Marvin Jones\JoneMa02,DET,WR,13,0,0,0,0,0,62,779,9,0,,0,
80,Terry McLaurin\McLaTe00,WAS,WR,14,0,0,0,0,0,58,919,7,0,,0,
81,Austin Hooper*\HoopAu00,ATL,TE,13,0,0,0,0,0,75,787,6,0,1,1,
82,Josh Jacobs\JacoJo01,OAK,RB,13,0,0,0,1150,7,20,166,0,1,,0,
83,Emmanuel Sanders\SandEm00,2TM,WR,17,35,1,0,0,0,66,869,5,0,1,1,
84,Sam Darnold\DarnSa00,NYJ,QB,13,3024,19,13,62,2,0,0,0,3,,3,3
85,Deebo Samuel\SamuDe00,SFO,WR,15,0,0,0,159,3,57,802,3,1,1,1,
86,Tyreek Hill*\HillTy00,KAN,WR,12,0,0,0,23,0,58,860,7,0,,0,
87,D.K. Metcalf\MetcDK00,SEA,WR,16,0,0,0,11,0,58,900,7,3,1,1,
88,Cole Beasley\BeasCo00,BUF,WR,15,0,0,0,0,0,67,778,6,0,2,2,
89,Marlon Mack\MackMa00,IND,RB,14,0,0,0,1091,8,14,82,0,0,1,1,
90,Melvin Gordon\GordMe00,LAC,RB,12,0,0,0,612,8,42,296,1,3,,0,
91,Kyle Allen\AlleKy00,CAR,QB,13,3322,17,16,106,2,0,0,0,7,,0,
92,Larry Fitzgerald\FitzLa00,ARI,WR,16,0,0,0,0,0,75,804,4,1,,0,
93,Curtis Samuel\SamuCu00,CAR,WR,16,0,0,0,130,1,54,627,6,0,,0,
94,David Montgomery\MontDa01,CHI,RB,16,0,0,0,889,6,25,185,1,2,,0,
95,Darius Slayton\SlayDa01,NYG,WR,14,0,0,0,0,0,48,740,8,0,,0,
96,Christian Kirk\KirkCh01,ARI,WR,13,0,0,0,93,0,68,709,3,0,1,1,
97,Jared Cook*\CookJa02,NOR,TE,14,0,0,0,0,0,43,705,9,0,,0,
98,Matthew Stafford\StafMa00,DET,QB,8,2499,19,5,66,0,0,0,0,3,,0,
99,Ronald Jones\JoneRo01,TAM,RB,16,0,0,0,724,6,31,309,0,2,,0,
100,Raheem Mostert\MostRa00,SFO,RB,16,0,0,0,772,8,14,180,2,2,,0,
101,Tarik Cohen\CoheTa00,CHI,RB,16,0,0,0,213,0,79,456,3,0,,0,
102,Diontae Johnson\JohnDi01,PIT,WR,16,0,0,0,41,0,59,680,5,2,,0,
103,Robby Anderson\AndeRo04,NYJ,WR,16,0,0,0,4,0,52,779,5,0,1,1,
104,Mike Williams\WillMi07,LAC,WR,15,0,0,0,2,0,49,1001,2,0,,0,
105,Tyler Higbee\HigbTy00,LAR,TE,15,0,0,0,0,0,69,734,3,0,,0,
106,Latavius Murray\MurrLa00,NOR,RB,16,0,0,0,637,5,34,235,1,0,,0,
107,Dede Westbrook\WestDe00,JAX,WR,15,0,0,0,27,0,66,660,3,0,2,2,
108,Chris Conley\ConlCh00,JAX,WR,16,0,0,0,0,0,47,775,5,0,1,1,
109,Randall Cobb\CobbRa00,DAL,WR,15,0,0,0,11,0,55,828,3,1,,0,
110,Duke Johnson\JohnDu00,HOU,RB,16,0,0,0,410,2,44,410,3,1,,0,
111,Carlos Hyde\HydeCa00,HOU,RB,16,0,0,0,1070,6,10,42,0,2,,0,
112,Sony Michel\MichSo00,NWE,RB,16,0,0,0,912,7,12,94,0,1,,0,
113,Golden Tate\TateGo00,NYG,WR,11,0,0,0,16,0,49,676,6,1,,0,
114,Hunter Henry\HenrHu00,LAC,TE,12,0,0,0,0,0,55,652,5,1,1,1,
115,Devin Singletary\SingDe00,BUF,RB,12,0,0,0,775,2,29,194,2,1,,0,
116,Adrian Peterson\PeteAd01,WAS,RB,15,0,0,0,898,5,17,142,0,2,,0,
117,Marquise Brown\BrowMa04,BAL,WR,14,0,0,0,0,0,46,584,7,0,,0,
118,Jamaal Williams\WillJa06,GNB,RB,14,0,0,0,460,1,39,253,5,0,,0,
119,James Conner\ConnJa00,PIT,RB,10,0,0,0,464,4,34,251,3,1,,0,
120,Dallas Goedert\GoedDa00,PHI,TE,15,0,0,0,0,0,58,607,5,2,,0,
121,Tyrell Williams\WillTy00,OAK,WR,14,0,0,0,0,0,42,651,6,0,,0,
122,Royce Freeman\FreeRo00,DEN,RB,16,0,0,0,496,3,43,256,1,0,,0,
123,Sterling Shepard\ShepSt00,NYG,WR,10,0,0,0,72,0,57,576,3,0,1,1,
124,David Johnson\JohnDa08,ARI,RB,13,0,0,0,345,2,36,370,4,1,,0,
125,Damien Williams\WillDa05,KAN,RB,11,0,0,0,498,5,30,213,2,1,,0,
126,Danny Amendola\AmenDa00,DET,WR,15,19,1,0,0,0,62,678,1,0,,0,
127,Jason Witten\WittJa00,DAL,TE,16,0,0,0,0,0,63,529,4,1,1,1,
128,Sammy Watkins\WatkSa00,KAN,WR,14,0,0,0,12,0,52,673,3,1,1,1,
129,Breshad Perriman\PerrBr02,TAM,WR,14,0,0,0,16,0,36,645,6,0,,0,
130,Mike Gesicki\GesiMi00,MIA,TE,16,0,0,0,0,0,51,570,5,1,,0,
131,Tevin Coleman\ColeTe01,SFO,RB,14,0,0,0,544,6,21,180,1,0,,0,
132,Zach Pascal\PascZa00,IND,WR,16,0,0,0,16,0,41,607,5,0,1,1,
133,Will Fuller\FullWi01,HOU,WR,11,0,0,0,0,0,49,670,3,0,,0,
134,James Washington\WashJa00,PIT,WR,15,0,0,0,0,0,44,735,3,1,,0,
135,Hunter Renfrow\RenfHu00,OAK,WR,13,0,0,0,0,0,49,605,4,0,,0,
136,Anthony Miller\MillAn02,CHI,WR,16,0,0,0,-1,0,52,656,2,1,,0,
137,T.Y. Hilton\HiltT.00,IND,WR,10,0,0,0,0,0,45,501,5,0,,0,
138,Mohamed Sanu\SanuMo00,2TM,WR,15,0,0,0,11,0,59,520,2,0,,0,
139,Greg Olsen\OlseGr00,CAR,TE,14,0,0,0,0,0,52,597,2,0,,0,
140,Alshon Jeffery\JeffAl00,PHI,WR,10,0,0,0,2,1,43,490,4,0,,0,
141,DeAndre Washington\WashDe00,OAK,RB,16,0,0,0,387,3,36,292,0,0,,0,
142,Kenny Stills\StilKe00,HOU,WR,13,0,0,0,0,0,40,561,4,0,,0,
143,Mecole Hardman*\HardMe00,KAN,WR,16,0,0,0,17,0,26,538,6,2,,0,
144,LeSean McCoy\McCoLe01,KAN,RB,13,0,0,0,465,4,28,181,1,2,,0,
145,Nyheim Hines\HineNy00,IND,RB,16,0,0,0,199,2,44,320,0,1,,0,
146,Brandin Cooks\CookBr00,LAR,WR,14,0,0,0,52,0,42,583,2,0,,0,
147,Peyton Barber\BarbPe01,TAM,RB,16,0,0,0,470,6,16,115,1,1,1,1,
148,Corey Davis\DaviCo03,TEN,WR,15,0,0,0,0,0,43,601,2,0,,0,
149,Adam Thielen\ThieAd00,MIN,WR,10,0,0,0,6,1,30,418,6,0,,0,
150,Kyle Rudolph\RudoKy00,MIN,TE,16,0,0,0,0,0,39,367,6,0,1,1,
151,JuJu Smith-Schuster\SmitJu00,PIT,WR,12,0,0,0,0,0,42,552,3,1,,0,
152,Jack Doyle*\DoylJa00,IND,TE,16,0,0,0,0,0,43,448,4,0,,0,
153,Jordan Howard\HowaJo00,PHI,RB,10,0,0,0,525,6,10,69,1,0,,0,
154,Noah Fant\FantNo00,DEN,TE,16,0,0,0,-12,0,40,562,3,1,,0,
155,Darren Fells\FellDa01,HOU,TE,16,0,0,0,0,0,34,341,7,0,,0,
156,Steven Sims\SimsSt00,WAS,WR,16,0,0,0,85,1,34,310,4,0,,0,
157,Evan Engram\EngrEv00,NYG,TE,8,0,0,0,7,0,44,467,3,0,,0,
158,Mason Rudolph\RudoMa00,PIT,QB,10,1765,13,9,42,0,0,0,0,0,,0,
159,Tyler Eifert\EifeTy00,CIN,TE,16,0,0,0,0,0,43,436,3,0,1,1,
160,Jonnu Smith\SmitJo01,TEN,TE,16,0,0,0,78,0,35,439,3,0,,0,
161,Jaylen Samuels\SamuJa00,PIT,RB,14,35,0,1,175,1,47,305,1,1,,0,
162,Case Keenum\KeenCa00,WAS,QB,10,1707,11,5,12,1,0,0,0,3,,0,
163,Matt Breida\BreiMa00,SFO,RB,13,0,0,0,623,1,19,120,1,1,,0,
164,Allen Lazard\LazaAl00,GNB,WR,16,0,0,0,21,0,35,477,3,0,,0,
165,Taysom Hill\HillTa00,NOR,QB,16,55,0,0,156,1,19,234,6,0,,0,
166,Auden Tate\TateAu00,CIN,WR,12,0,0,0,0,0,40,575,1,1,,0,
167,Kareem Hunt\HuntKa00,CLE,RB,8,0,0,0,179,2,37,285,1,0,,0,
168,Rex Burkhead\BurkRe00,NWE,RB,13,0,0,0,302,3,27,279,0,1,,0,
169,Demarcus Robinson\RobiDe01,KAN,WR,16,0,0,0,0,0,32,449,4,0,,0,
170,Phillip Dorsett\DorsPh00,NWE,WR,14,0,0,0,21,0,29,397,5,0,,0,
171,Jimmy Graham\GrahJi00,GNB,TE,16,0,0,0,0,0,38,447,3,0,,0,
172,Russell Gage\GageRu00,ATL,WR,16,0,0,0,12,0,49,446,1,1,,0,
173,Ryan Griffin\GrifRy00,NYJ,TE,13,0,0,0,0,0,34,320,5,0,1,1,
174,Kendrick Bourne\BourKe00,SFO,WR,16,0,0,0,0,0,30,358,5,0,1,1,
175,Boston Scott\ScotBo02,PHI,RB,11,0,0,0,245,5,24,204,0,1,,0,
176,Alex Erickson\EricAl01,CIN,WR,16,26,0,0,33,0,43,529,0,2,,0,
177,Willie Snead\SneaWi00,BAL,WR,16,0,0,0,2,0,31,339,5,0,,0,
